"Name","Team","SwStr%","Pitches","playerid"
"Greg Mahle","Angels","6.7 %","328","16877"
"Yovani Gallardo","Orioles","6.4 %","2107","8173"
"Ubaldo Jimenez","Orioles","8.3 %","2492","3374"
"Jeff Locke","Pirates","8.4 %","2096","2929"
"Ryan Weber","Braves","5.4 %","539","10160"
"Spencer Patton","Cubs","10.2 %","391","12361"
"Casey Fien","- - -","12.3 %","657","3926"
"Matt Purke","White Sox","8.8 %","330","12831"
"Jon Niese","- - -","7.3 %","2010","4424"
"Jorge de la Rosa","Rockies","10.5 %","2343","2047"
"Bo Schultz","Blue Jays","8.9 %","260","5028"
"Anthony Swarzak","Yankees","9.6 %","488","7466"
"Chris Hatcher","Dodgers","9.9 %","770","3299"
"Jake Peavy","Giants","10.5 %","2026","1051"
"Jake Esch","Marlins","9.8 %","214","12756"
"Zach Eflin","Phillies","5.7 %","992","13774"
"Nick Martinez","Rangers","6.3 %","649","12730"
"Elvis Araujo","Phillies","10.9 %","543","12854"
"Severino Gonzalez","Phillies","11.1 %","613","14697"
"Matt Cain","Giants","8.7 %","1568","4732"
"Enrique Burgos","Diamondbacks","11.9 %","734","3895"
"Michael Blazek","Brewers","9.5 %","818","9654"
"Alex Meyer","- - -","8.8 %","476","12833"
"Sonny Gray","Athletics","8.0 %","1947","12768"
"Justin Miller","Rockies","9.9 %","771","8580"
"Luke Weaver","Cardinals","9.8 %","682","16918"
"Jake Thompson","Phillies","6.6 %","919","14371"
"Luis Perdomo","Padres","8.6 %","2371","14682"
"Jerome Williams","Cardinals","9.3 %","291","1137"
"Tommy Milone","Twins","8.7 %","1223","7608"
"Leonel Campos","Padres","13.7 %","388","12277"
"Pat Venditte","- - -","10.2 %","404","7108"
"Steve Geltz","Rays","10.8 %","465","8402"
"Brock Stewart","Dodgers","11.0 %","484","16727"
"Mike Wright","Orioles","6.3 %","1296","12586"
"Casey Kelly","Braves","6.7 %","376","9174"
"Michael Mariot","Phillies","9.0 %","380","10835"
"Shane Greene","Tigers","12.7 %","983","10756"
"Andrew Albers","Twins","6.4 %","326","7853"
"Matt Thornton","Padres","6.8 %","280","1918"
"Jordan Lyles","Rockies","7.1 %","957","7593"
"Luis Severino","Yankees","9.2 %","1269","15890"
"Cory Rasmus","Angels","9.7 %","464","2413"
"James Shields","- - -","9.2 %","3133","7059"
"Anibal Sanchez","Tigers","9.2 %","2577","3284"
"Tyrell Jenkins","Braves","5.8 %","894","11378"
"Brett Oberholtzer","- - -","8.2 %","1218","3855"
"Edwin Jackson","- - -","9.4 %","1401","1841"
"Enny Romero","Rays","12.8 %","811","4001"
"Joel Peralta","- - -","11.8 %","501","2332"
"Odrisamer Despaigne","- - -","7.9 %","534","16017"
"Phil Hughes","Twins","6.4 %","907","7450"
